weight,round,result_type,winner_name,winner_team,winner_conf,winner_seed,winner_tpar_v1,winner_tpar_v3b,loser_name,loser_team,loser_conf,loser_seed,loser_tpar_v1,loser_tpar_v3b
174,C_R1,Dec,Sergio Desiante,Virginia Tech,ACC,25,1.1647,1.2422,Garrett Thompson,Ohio,MAC,24,2.6389,2.6232
174,C_R1,Dec,Lenny Pinto,Rutgers,Big Ten,21,1.7048,1.7748,Holden Garcia,Princeton,CAA,28,1.1814,1.1311
174,C_R1,SV-1,Carter Baer,Binghamton,EIWA,13,2.1900,2.1113,Avery Bassett,Lock Haven,MAC,29,1.9159,1.9244
174,C_R1,Dec,Moses Espinoza-Owens,South Dakota State,Big 12,14,1.7067,1.8124,Riley Davis,Wyoming,Big 12,30,0.5015,0.6740
174,C_R1,Dec,Brody Baumann,Purdue,Big Ten,22,1.3836,1.5020,Collin Carrigan,North Carolina,ACC,27,0.3300,0.4030
174,C_R1,Fall,Luca Augustine,Pittsburgh,ACC,23,1.6532,1.8016,Derek Gilcher,Indiana,Big Ten,26,1.4931,1.6731
174,C_R1,MD,Colin Kelly,Illinois,Big Ten,18,2.0788,2.3269,Cael Valencia,Arizona State,Big 12,31,0.9330,1.0852
174,C_PIG,Dec,Riley Davis,Wyoming,Big 12,30,0.5015,0.6740,Luke Condon,Wisconsin,Big Ten,32,0.1128,0.2748
174,R16,TF,Levi Haines,Penn State,Big Ten,1,5.2112,5.3684,Nick Fine,Columbia,CAA,16,2.7273,2.7505
174,R16,Dec,Beau Mantanona,Michigan,Big Ten,9,3.7015,3.9341,Alex Facundo,Oklahoma State,Big 12,8,2.9986,3.1509
174,R16,Dec,Patrick Kennedy,Iowa,Big Ten,5,3.5718,3.7923,Carter Schubert,Oklahoma,Big 12,12,2.1778,2.3196
174,R16,MD,Carson Kharchla,Ohio State,Big Ten,4,3.6021,3.7746,Daschle Lamer,Oregon State,Pac-12,20,2.9871,3.0100
174,R16,MD,Christopher Minto,Nebraska,Big Ten,3,3.6976,3.8868,Logan Messer,George Mason,MAC,19,2.0988,1.9976
174,R16,Dec,MJ Gaitan,Iowa State,Big 12,11,2.8052,2.9129,Matty Singleton,NC State,ACC,6,3.0647,3.1916
174,R16,Fall,Cam Steed,Missouri,Big 12,7,2.7762,2.9233,Myles Takats,Bucknell,EIWA,10,2.9771,3.0111
174,R16,Dec,Danny Wask,Navy,EIWA,15,3.4726,3.5278,Simon Ruiz,Cornell,CAA,2,4.5424,4.5894
